feature	importance
L_2_A7	0.133441
L_5_A5	0.12273
L_10_A19	0.086786
L_7_A7	0.072263
L_9_A8	0.06503
L_4_A7	0.06249
L_6_A4	0.047149
L_1_A12	0.045117
L_5_missing	0.043108
L_4_A5	0.041951
L_6_A6	0.032458
L_4_A17	0.02868
L_7_A10	0.025748
L_1_A6	0.025196
L_1_A1	0.018665
L_2_missing	0.016348
L_9_A10	0.0099
L_10_A13	0.009851
L_3_A9	0.009234
L_10_A10	0.008739
L_4_A4	0.00863
L_9_A4	0.008308
L_1_A7	0.007944
L_6_A14	0.007942
L_4_A10	0.007802
L_3_A16	0.007731
L_8_A3	0.007722
L_1_A4	0.006994
L_10_A8	0.006591
L_1_A3	0.006063
L_5_A3	0.005335
L_3_A14	0.004444
L_2_A2	0.002862
L_1_A8	0.00255
L_2_A5	0.002429
L_6_A5	0.001086
L_10_A17	0.00062
L_5_A18	6.4e-05
L_4_A16	0.0
L_8_A5	0.0
L_7_A6	0.0
L_10_A18	0.0
L_7_missing	0.0
L_8_A13	0.0
L_8_A2	0.0
L_3_A15	0.0
L_8_A44	0.0
L_8_A7	0.0
L_8_A6	0.0
L_7_A44	0.0
L_8_A8	0.0
L_9_A12	0.0
L_9_A3	0.0
L_2_A8	0.0
L_9_A44	0.0
L_9_A7	0.0
L_10_A16	0.0
L_7_A5	0.0
L_10_A2	0.0
L_7_A3	0.0
L_3_A8	0.0
L_4_A15	0.0
L_4_A44	0.0
L_2_A13	0.0
L_1_A44	0.0
L_5_A11	0.0
L_5_A15	0.0
L_5_A16	0.0
L_5_A17	0.0
L_5_A44	0.0
L_4_A2	0.0
L_3_A6	0.0
L_5_A8	0.0
L_2_A44	0.0
L_3_A44	0.0
L_3_A3	0.0
L_6_A44	0.0
L_10_A44	0.0
L_6_A9	0.0
L_9_A9	0.0
