feature	train_mean	train_std	test_mean	test_std
L_2_A7	0.5486	0.080339	0.405351	0.057788
L_5_A5	0.198319	0.03918	0.01376	0.020464
L_10_A19	0.106881	0.019848	0.11169	0.064515
L_4_A7	0.086796	0.009846	0.206693	0.07643
L_6_A14	0.064708	0.012509	0.132855	0.082586
L_7_A7	0.059673	0.01555	0.123226	0.059686
L_1_A6	0.030681	0.012543	-0.022255	0.012562
L_1_A12	0.027763	0.012344	0.007412	0.028953
L_5_A3	0.025094	0.007508	0.114647	4.1e-05
L_7_A10	0.023751	0.01158	0.015929	0.019909
L_6_A4	0.01852	0.009772	0.00352	0.029251
L_10_A13	0.013805	0.008573	0.020488	0.018637
L_10_A8	0.009796	0.003903	0.058415	0.021466
L_6_A6	0.008722	0.002073	0.007525	0.003289
L_4_A5	0.008451	0.018255	0.017831	0.0177
L_5_missing	0.004769	0.008931	0.073359	0.044098
L_9_A8	0.004344	0.00253	-0.003192	0.005434
L_4_A17	0.003222	0.00996	0.004312	0.018571
L_2_missing	0.002628	0.00176	0.000416	0.004463
L_8_A3	0.002084	0.002189	0.008235	0.007585
L_10_A10	0.001878	0.002145	0.009685	0.008387
L_3_A14	0.001783	0.001616	0.025071	0.010187
L_4_A4	0.001733	0.000987	0.002253	0.006352
L_9_A4	0.001611	0.001086	0.002631	0.006682
L_4_A10	0.001427	0.001217	0.000442	0.00667
L_1_A4	0.001232	0.002979	0.004294	0.003998
L_3_A9	0.001219	0.000912	-0.000313	0.005334
L_9_A10	0.001115	0.0009	-0.000566	0.005032
L_2_A2	0.001003	0.003635	-0.003042	0.003725
L_5_A18	0.000318	3.2e-05	0.000345	0.000107
L_1_A1	0.000252	0.003387	0.020342	0.011259
L_10_A17	0.00021	3.9e-05	0.000174	8.7e-05
L_1_A7	0.000119	7.1e-05	0.000821	0.000621
L_8_A13	0.0	0.0	0.0	0.0
L_10_A2	0.0	0.0	0.0	0.0
L_7_A3	0.0	0.0	0.0	0.0
L_7_A44	0.0	0.0	0.0	0.0
L_7_A5	0.0	0.0	0.0	0.0
L_7_A6	0.0	0.0	0.0	0.0
L_10_A18	0.0	0.0	0.0	0.0
L_7_missing	0.0	0.0	0.0	0.0
L_9_A44	0.0	0.0	0.0	0.0
L_8_A2	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_8_A44	0.0	0.0	0.0	0.0
L_8_A5	0.0	0.0	0.0	0.0
L_10_A44	0.0	0.0	0.0	0.0
L_8_A6	0.0	0.0	0.0	0.0
L_8_A7	0.0	0.0	0.0	0.0
L_8_A8	0.0	0.0	0.0	0.0
L_10_A16	0.0	0.0	0.0	0.0
L_9_A12	0.0	0.0	0.0	0.0
L_9_A3	0.0	0.0	0.0	0.0
L_6_A9	0.0	0.0	0.0	0.0
L_9_A9	0.0	0.0	0.0	0.0
L_2_A13	0.0	0.0	0.0	0.0
L_3_A15	0.0	0.0	0.0	0.0
L_3_A3	0.0	0.0	0.0	0.0
L_3_A44	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_3_A8	0.0	0.0	0.0	0.0
L_4_A15	0.0	0.0	0.0	0.0
L_4_A16	0.0	0.0	0.0	0.0
L_4_A2	0.0	0.0	0.0	0.0
L_4_A44	0.0	0.0	0.0	0.0
L_6_A44	0.0	0.0	0.0	0.0
L_2_A44	0.0	0.0	0.0	0.0
L_5_A11	0.0	0.0	0.0	0.0
L_5_A15	0.0	0.0	0.0	0.0
L_5_A16	0.0	0.0	0.0	0.0
L_5_A17	0.0	0.0	0.0	0.0
L_5_A44	0.0	0.0	0.0	0.0
L_1_A44	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_2_A8	0.0	0.0	0.0	0.0
L_1_A3	-0.000302	0.001548	0.0	0.0
L_3_A16	-0.00095	0.003599	-0.001755	0.007211
L_6_A5	-0.001665	0.001513	0.002267	0.004485
L_1_A8	-0.00318	0.001096	-0.009088	0.0
L_2_A5	-0.006216	0.008852	-0.009846	0.0
