feature	importance
L_1_A6	13.322484
L_9_A9	11.816066
L_4_A7	10.659191
L_9_A8	7.228911
L_1_A1	7.211398
L_6_A5	6.120277
L_1_A12	5.586065
L_10_A10	3.718623
L_2_A7	3.684973
L_2_A8	3.49158
L_1_A4	3.064307
L_5_A18	2.928183
L_6_A4	2.885201
L_5_missing	1.754197
L_10_A13	1.740689
L_2_missing	1.650787
L_5_A17	1.616392
L_2_A5	1.562365
L_5_A5	1.219837
L_9_A7	0.87507
L_3_A16	0.849175
L_8_A3	0.736771
L_3_A3	0.562024
L_9_A4	0.554785
L_3_A14	0.546173
L_4_A4	0.532885
L_5_A8	0.53217
L_8_A7	0.466414
L_5_A11	0.464235
L_10_A17	0.43251
L_4_A17	0.339467
L_9_A12	0.337118
L_9_A3	0.282428
L_3_A6	0.242372
L_7_A10	0.233193
L_2_A2	0.229955
L_8_A13	0.210437
L_7_A6	0.093111
L_8_A6	0.089156
L_4_A15	0.07576
L_7_A5	0.028684
L_5_A15	0.01305
L_2_A13	0.010291
L_3_A15	0.001028
L_6_A9	0.000213
L_5_A16	0.0
L_2_A44	0.0
L_4_A16	0.0
L_4_A2	0.0
L_10_A18	0.0
