feature	train_mean	train_std	test_mean	test_std
L_8_A13	0.308249	0.015491	0.484233	0.097176
L_2_A2	0.091678	0.0112	0.133768	0.022339
L_2_missing	0.050501	0.008795	0.005075	0.029218
L_4_A17	0.029434	0.005127	0.066599	0.014011
L_2_A7	0.02657	0.002427	0.006001	0.00454
L_4_A15	0.019088	0.001709	-1.7e-05	0.00434
L_9_A3	0.008157	0.002226	0.0058	0.008756
L_4_A16	0.007846	0.003583	-0.006754	0.008813
L_2_A44	0.005677	0.001013	-0.005162	0.006952
L_4_A4	0.005518	0.005655	0.036659	0.015494
L_9_A8	0.004385	0.000768	-0.000153	0.000347
L_10_A10	0.003691	0.001927	0.002384	0.002194
L_10_A13	0.003378	0.000905	-0.000922	0.003708
L_9_A12	0.002617	0.002332	0.001333	0.003831
L_3_A3	0.001217	0.001065	0.001956	0.000181
L_5_A17	0.000954	0.000419	0.001225	0.000939
L_5_A11	0.000738	0.000755	0.000744	0.00099
L_5_A15	0.000573	0.000325	0.000137	0.000572
L_6_A5	0.000449	0.000294	0.000104	0.000884
L_5_missing	0.000415	0.000752	-0.001459	0.001453
L_9_A9	0.00041	0.000898	0.002246	0.001116
L_7_A10	0.000322	0.000318	-0.000332	0.000276
L_10_A18	0.000306	0.000393	-0.000512	0.000734
L_8_A6	4.4e-05	6.5e-05	2.4e-05	1.4e-05
L_4_A2	4.1e-05	0.001334	0.000268	0.003413
L_4_A7	2.4e-05	2.3e-05	0.000114	4.8e-05
L_3_A16	7e-06	3.9e-05	-2.7e-05	0.000163
L_6_A9	0.0	0.0	0.0	0.0
L_10_A17	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_9_A4	0.0	0.0	0.0	0.0
L_1_A1	0.0	0.0	0.0	0.0
L_8_A7	0.0	0.0	0.0	0.0
L_1_A12	0.0	0.0	0.0	0.0
L_7_A6	0.0	0.0	0.0	0.0
L_7_A5	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_1_A6	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_5_A5	0.0	0.0	0.0	0.0
L_5_A18	0.0	0.0	0.0	0.0
L_2_A13	0.0	0.0	0.0	0.0
L_5_A16	0.0	0.0	0.0	0.0
L_2_A5	0.0	0.0	0.0	0.0
L_2_A8	0.0	0.0	0.0	0.0
L_3_A14	0.0	0.0	0.0	0.0
L_3_A15	0.0	0.0	0.0	0.0
L_1_A4	0.0	0.0	0.0	0.0
L_8_A3	-8e-06	0.000275	-5.4e-05	0.000654
