feature	train_mean	train_std	test_mean	test_std
L_6_A5	10.073983	0.179292	11.124582	1.214109
L_10_A19	3.91244	0.237197	3.721484	0.347255
L_1_A4	2.753398	0.300329	1.621072	0.687228
L_1_A1	2.206153	0.089354	4.1375	0.435519
L_10_A8	0.43145	0.002126	1.565856	0.346143
L_1_A8	0.166729	0.084475	-0.000589	0.002204
L_1_A6	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_7_A10	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_2_A7	0.0	0.0	0.0	0.0
L_1_A7	0.0	0.0	0.0	0.0
L_10_A10	0.0	0.0	0.0	0.0
L_1_A44	0.0	0.0	0.0	0.0
L_10_A13	0.0	0.0	0.0	0.0
L_1_A3	0.0	0.0	0.0	0.0
L_1_A12	0.0	0.0	0.0	0.0
L_10_A44	0.0	0.0	0.0	0.0
L_10_A2	0.0	0.0	0.0	0.0
L_10_A18	0.0	0.0	0.0	0.0
L_10_A17	0.0	0.0	0.0	0.0
L_10_A16	0.0	0.0	0.0	0.0
L_9_A8	0.0	0.0	0.0	0.0
