scores	parameters
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__random_state': 42
0.90625	'feature_selection__estimator__C': 0.1, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__random_state': 42
0.9	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__random_state': 42
0.9	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': 10, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__random_state': 42
0.9	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__random_state': 42
0.9	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': 10, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42
0.9	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 5, 'model__random_state': 42
0.9	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__random_state': 42
0.9	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42
0.9	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'entropy', 'model__max_depth': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__random_state': 42
0.9	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 2, 'model__min_samples_split': 2, 'model__random_state': 42
0.9	'feature_selection__estimator__C': 1.0, 'feature_selection__estimator__max_iter': 300, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__criterion': 'gini', 'model__max_depth': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__random_state': 42
