feature	importance
L_10_A18	0.065095
L_2_A7	0.060295
L_1_A6	0.0578
L_10_A19	0.045461
L_9_A9	0.040766
L_1_A4	0.040205
L_9_A8	0.037696
L_1_A1	0.036751
L_6_A5	0.033842
L_3_A15	0.032669
L_5_missing	0.032026
L_6_A4	0.030365
L_5_A5	0.029907
L_10_A13	0.027341
L_9_A7	0.027244
L_4_A17	0.0246
L_4_A7	0.024111
L_5_A17	0.023246
L_3_A16	0.022941
L_7_A10	0.022536
L_1_A12	0.022099
L_4_A5	0.022016
L_4_A16	0.019513
L_5_A16	0.018919
L_3_A6	0.018778
L_8_A13	0.017949
L_9_A4	0.013645
L_5_A8	0.011481
L_2_A13	0.011371
L_7_A7	0.011315
L_6_A9	0.010625
L_10_A10	0.010346
L_8_A3	0.008784
L_4_A4	0.00871
L_1_A3	0.008262
L_3_A3	0.008134
L_5_A15	0.006903
L_3_A9	0.006308
L_5_A3	0.005402
L_7_A3	0.005384
L_8_A2	0.005343
L_3_A8	0.005272
L_10_A8	0.004881
L_9_A10	0.004707
L_2_missing	0.004076
L_10_A17	0.003875
L_9_A12	0.003185
L_5_A11	0.002741
L_10_A16	0.002604
L_4_A10	0.002476
