feature	train_mean	train_std	test_mean	test_std
L_2_missing	0.068048	0.00419	0.067381	0.010638
L_4_A10	0.067742	0.004058	0.064774	0.010634
L_10_A18	0.045124	0.003441	0.058827	0.007383
L_10_A19	0.042286	0.004899	0.013459	0.010822
L_10_A13	0.031455	0.003514	0.022543	0.007615
L_1_A4	0.028568	0.00083	0.022857	0.006571
L_9_A8	0.026706	0.00438	0.006881	0.002095
L_4_A5	0.025205	0.001656	0.02884	0.006811
L_2_A13	0.024956	0.005204	0.011131	0.010128
L_5_A16	0.022792	0.001978	0.023055	0.00467
L_1_A3	0.021749	0.003644	0.028585	0.005243
L_7_A7	0.021202	0.007468	0.058912	0.011267
L_4_A7	0.020871	0.001939	0.014645	0.004752
L_6_A4	0.020686	0.002014	0.013506	0.004974
L_7_A3	0.020599	0.002298	0.027272	0.006131
L_9_A10	0.017777	0.003384	0.013311	0.003832
L_5_missing	0.014864	0.000871	0.020578	0.003806
L_6_A9	0.012028	0.001708	0.007102	0.001819
L_10_A10	0.011984	0.001508	0.008562	0.001948
L_8_A3	0.010305	0.002153	0.020339	0.006538
L_9_A9	0.009881	0.00188	0.015921	0.005188
L_5_A11	0.009028	0.001255	0.00603	0.00142
L_1_A6	0.00838	0.000775	0.0	0.0
L_3_A3	0.006825	0.001318	0.013923	0.004508
L_5_A17	0.006788	0.001378	0.009951	0.0028
L_5_A3	0.003388	0.000407	0.00533	0.000371
L_1_A12	0.003331	0.002075	0.021787	0.005768
L_8_A2	0.003087	0.000609	0.003408	0.001886
L_10_A17	0.002733	0.001196	0.002407	0.001394
L_9_A4	0.002332	0.000776	0.018367	0.000752
L_4_A17	0.002121	0.000237	0.003408	0.000472
L_10_A16	0.001722	0.00021	0.002669	0.000376
L_5_A5	0.001604	0.00016	0.002616	0.000401
L_8_A13	0.001489	0.000159	0.002531	0.00018
L_9_A12	0.0	0.0	0.0	0.0
L_1_A1	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_10_A8	0.0	0.0	0.0	0.0
L_3_A8	0.0	0.0	0.0	0.0
L_7_A10	0.0	0.0	0.0	0.0
L_6_A5	0.0	0.0	0.0	0.0
L_3_A9	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_3_A15	0.0	0.0	0.0	0.0
L_5_A15	0.0	0.0	0.0	0.0
L_3_A16	0.0	0.0	0.0	0.0
L_4_A4	0.0	0.0	0.0	0.0
L_4_A16	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_2_A7	0.0	0.0	0.0	0.0
