feature	train_mean	train_std	test_mean	test_std
L_4_A16	1.014988	0.325142	-0.040187	0.965296
L_2_A8	1.014988	0.325142	-0.040187	0.965296
L_10_A19	0.970683	0.352765	-0.040187	0.965296
L_5_A5	0.835051	0.345198	0.790888	0.418043
L_2_A2	0.770941	0.443089	0.50047	0.669421
L_10_A13	0.703353	0.639705	0.971107	0.736883
L_4_A7	0.658301	0.173324	0.140032	0.936798
L_6_A5	0.658301	0.173324	0.140032	0.936798
L_3_A16	0.618939	0.357902	0.119131	0.501852
L_1_A7	0.6162	0.376874	0.118407	0.504434
L_8_A3	0.570436	0.348022	0.118769	0.503143
L_9_A9	0.450065	0.312284	1.041122	0.595146
L_5_A16	0.428011	0.264456	0.295055	0.801021
L_6_A6	0.428011	0.264456	0.295055	0.801021
L_7_A5	0.364948	0.31435	0.403247	0.757749
L_8_A8	0.325414	0.328253	-0.0	0.0
L_10_A18	0.315365	0.323012	0.250233	0.568231
L_2_A13	0.185233	0.080077	0.0	0.0
L_7_A10	0.146574	0.207385	-0.551005	0.492834
L_5_A17	0.146574	0.207385	-0.551005	0.492834
L_10_A10	0.146574	0.207385	-0.551005	0.492834
L_9_A8	0.136249	0.095535	-0.110201	0.220402
L_4_A4	0.04504	0.091505	0.405254	0.703831
L_1_A3	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_9_A4	0.0	0.0	0.0	0.0
L_10_A17	0.0	0.0	0.0	0.0
L_8_A13	0.0	0.0	0.0	0.0
L_7_A7	0.0	0.0	0.0	0.0
L_7_A3	0.0	0.0	0.0	0.0
L_3_A15	0.0	0.0	0.0	0.0
L_6_A9	0.0	0.0	0.0	0.0
L_1_A4	0.0	0.0	0.0	0.0
L_6_A14	0.0	0.0	0.0	0.0
L_2_A7	0.0	0.0	0.0	0.0
L_5_A18	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_3_A8	0.0	0.0	0.0	0.0
L_1_A12	0.0	0.0	0.0	0.0
L_4_A5	0.0	0.0	0.0	0.0
L_5_missing	0.0	0.0	0.0	0.0
L_3_A3	-0.00118	0.001685	-0.014507	0.01357
L_1_A1	-0.022825	0.072578	-0.644603	0.31583
L_4_A17	-0.037226	0.062113	-0.679167	0.273859
L_1_A6	-0.040039	0.080078	0.460287	0.473059
L_9_A10	-0.059341	0.055215	-0.657328	0.254827
L_5_A8	-0.068352	0.015566	0.060281	0.055059
L_2_missing	-0.088392	0.04396	-0.184585	0.092967
L_7_A6	-0.23233	0.043563	-0.910797	0.324913
