scores	parameters
0.90625	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__priors': None, 'model__var_smoothing': 1e-07
0.90625	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__priors': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'model__var_smoothing': 1e-07
0.89375	'feature_selection__estimator__max_depth': 5, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__priors': None, 'model__var_smoothing': 1e-09
0.89375	'feature_selection__estimator__max_depth': 5, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__priors': None, 'model__var_smoothing': 1e-07
0.89375	'feature_selection__estimator__max_depth': 5, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__priors': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'model__var_smoothing': 1e-09
0.89375	'feature_selection__estimator__max_depth': 5, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__priors': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'model__var_smoothing': 1e-07
0.89375	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__priors': None, 'model__var_smoothing': 1e-09
0.89375	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__priors': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'model__var_smoothing': 1e-09
0.8625	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__priors': None, 'model__var_smoothing': 1e-09
0.8625	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__priors': None, 'model__var_smoothing': 1e-07
0.8625	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__priors': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'model__var_smoothing': 1e-09
0.8625	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__priors': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'model__var_smoothing': 1e-07
0.85625	'feature_selection__estimator__max_depth': 5, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__priors': None, 'model__var_smoothing': 1e-09
0.85625	'feature_selection__estimator__max_depth': 5, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__priors': None, 'model__var_smoothing': 1e-07
0.85625	'feature_selection__estimator__max_depth': 5, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__priors': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'model__var_smoothing': 1e-09
0.85625	'feature_selection__estimator__max_depth': 5, 'feature_selection__estimator__n_estimators': 200, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__priors': [0.3333333333333333, 0.3333333333333333, 0.3333333333333333], 'model__var_smoothing': 1e-07
