feature	train_mean	train_std	test_mean	test_std
L_1_A1	1.922847	0.127714	2.160127	0.215826
L_10_A13	0.9067	0.080227	0.699125	0.184281
L_2_missing	0.771739	0.093029	0.699551	0.233321
L_10_A10	0.288794	0.073327	0.497677	0.114351
L_8_A3	0.262857	0.073654	0.941034	0.153497
L_2_A13	0.174044	0.092913	0.166093	0.156615
L_4_A17	0.064676	0.016871	0.270579	0.060416
L_9_A9	0.05558	0.014759	0.04161	0.056873
L_2_A5	0.042676	0.015998	-0.016062	0.015224
L_9_A10	0.035036	0.023312	0.046504	0.079271
L_3_A6	0.03355	0.011424	0.099595	0.019694
L_5_A3	0.02743	0.00867	0.029303	0.032232
L_5_A5	0.024639	0.005477	-0.064265	0.030786
L_4_A7	0.001884	0.001452	0.015964	0.003548
L_3_A9	0.000823	0.00125	-5.6e-05	0.001447
L_3_A16	1.4e-05	3e-05	0.0	0.0
L_1_A12	0.0	0.0	0.0	0.0
L_8_A6	0.0	0.0	0.0	0.0
L_7_A5	0.0	0.0	0.0	0.0
L_7_A6	0.0	0.0	0.0	0.0
L_8_A13	0.0	0.0	0.0	0.0
L_8_A2	0.0	0.0	0.0	0.0
L_10_A17	0.0	0.0	0.0	0.0
L_8_A5	0.0	0.0	0.0	0.0
L_8_A7	0.0	0.0	0.0	0.0
L_6_A9	0.0	0.0	0.0	0.0
L_1_A3	0.0	0.0	0.0	0.0
L_9_A12	0.0	0.0	0.0	0.0
L_9_A4	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_9_A8	0.0	0.0	0.0	0.0
L_7_A10	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_10_A18	0.0	0.0	0.0	0.0
L_3_A14	0.0	0.0	0.0	0.0
L_3_A15	0.0	0.0	0.0	0.0
L_2_A7	0.0	0.0	0.0	0.0
L_3_A8	0.0	0.0	0.0	0.0
L_4_A10	0.0	0.0	0.0	0.0
L_4_A15	0.0	0.0	0.0	0.0
L_4_A16	0.0	0.0	0.0	0.0
L_1_A4	0.0	0.0	0.0	0.0
L_5_A15	0.0	0.0	0.0	0.0
L_5_A16	0.0	0.0	0.0	0.0
L_5_A17	0.0	0.0	0.0	0.0
L_1_A6	0.0	0.0	0.0	0.0
L_2_A2	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_6_A5	-4e-05	0.000235	-0.000222	0.000672
L_10_A19	-6e-05	0.000255	-0.001551	0.000776
