feature	train_mean	train_std	test_mean	test_std
L_8_A13	0.882208	0.148444	3.00192	0.433941
L_9_A9	0.008104	0.009961	0.013389	0.004463
L_4_A16	0.00399	0.000881	0.024588	0.005754
L_3_A6	0.00251	0.001366	0.0	0.0
L_8_A6	0.001728	0.002242	0.024588	0.005754
L_3_A16	0.001728	0.002242	0.024588	0.005754
L_3_A15	0.001674	0.001366	0.0	0.0
L_6_A9	0.0	0.0	0.0	0.0
L_5_A17	0.0	0.0	0.0	0.0
L_5_A5	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_6_A5	0.0	0.0	0.0	0.0
L_6_A6	0.0	0.0	0.0	0.0
L_7_A3	0.0	0.0	0.0	0.0
L_7_A10	0.0	0.0	0.0	0.0
L_4_A7	0.0	0.0	0.0	0.0
L_7_A6	0.0	0.0	0.0	0.0
L_7_missing	0.0	0.0	0.0	0.0
L_8_A3	0.0	0.0	0.0	0.0
L_8_A5	0.0	0.0	0.0	0.0
L_8_A7	0.0	0.0	0.0	0.0
L_8_A8	0.0	0.0	0.0	0.0
L_9_A12	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_9_A8	0.0	0.0	0.0	0.0
L_5_A16	0.0	0.0	0.0	0.0
L_10_A10	0.0	0.0	0.0	0.0
L_4_A2	0.0	0.0	0.0	0.0
L_10_A13	0.0	0.0	0.0	0.0
L_10_A17	0.0	0.0	0.0	0.0
L_10_A18	0.0	0.0	0.0	0.0
L_10_A19	0.0	0.0	0.0	0.0
L_1_A1	0.0	0.0	0.0	0.0
L_1_A12	0.0	0.0	0.0	0.0
L_1_A4	0.0	0.0	0.0	0.0
L_1_A6	0.0	0.0	0.0	0.0
L_1_A8	0.0	0.0	0.0	0.0
L_2_A13	0.0	0.0	0.0	0.0
L_2_A5	0.0	0.0	0.0	0.0
L_2_A7	0.0	0.0	0.0	0.0
L_2_A8	0.0	0.0	0.0	0.0
L_2_missing	0.0	0.0	0.0	0.0
L_3_A14	0.0	0.0	0.0	0.0
L_3_A3	0.0	0.0	0.0	0.0
L_3_A44	0.0	0.0	0.0	0.0
L_3_A9	0.0	0.0	0.0	0.0
L_4_A10	0.0	0.0	0.0	0.0
L_4_A15	0.0	0.0	0.0	0.0
L_4_A17	0.0	0.0	0.0	0.0
