scores	parameters
0.90625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__p': 1
0.90625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'manhattan', 'model__n_neighbors': 11, 'model__p': 1
0.90625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__p': 2
0.90625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__p': 1
0.90625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__p': 2
0.90625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'euclidean', 'model__n_neighbors': 11, 'model__p': 1
0.9	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'euclidean', 'model__n_neighbors': 11, 'model__p': 2
0.89375	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'manhattan', 'model__n_neighbors': 11, 'model__p': 2
0.8875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'euclidean', 'model__n_neighbors': 11, 'model__p': 1
0.8875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'euclidean', 'model__n_neighbors': 17, 'model__p': 1
0.88125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'euclidean', 'model__n_neighbors': 11, 'model__p': 2
0.88125	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'manhattan', 'model__n_neighbors': 11, 'model__p': 1
0.88125	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'manhattan', 'model__n_neighbors': 17, 'model__p': 2
0.88125	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__p': 2
0.875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'manhattan', 'model__n_neighbors': 17, 'model__p': 1
0.875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'manhattan', 'model__n_neighbors': 17, 'model__p': 2
0.875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__p': 1
0.86875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'manhattan', 'model__n_neighbors': 11, 'model__p': 2
0.8625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'euclidean', 'model__n_neighbors': 17, 'model__p': 2
0.8625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'euclidean', 'model__n_neighbors': 17, 'model__p': 2
0.85625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'manhattan', 'model__n_neighbors': 17, 'model__p': 1
0.85625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'euclidean', 'model__n_neighbors': 17, 'model__p': 1
0.84375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'euclidean', 'model__n_neighbors': 5, 'model__p': 1
0.83125	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fa40a8a09a0>, 'model__metric': 'manhattan', 'model__n_neighbors': 5, 'model__p': 2
