feature	importance
L_4_A7	21.792917
L_4_A44	21.79291
L_10_A2	17.228905
L_3_A14	11.729507
L_5_A15	10.956419
L_1_A12	10.753658
L_6_A4	10.753654
L_9_A7	9.954153
L_7_A10	9.954152
L_10_A13	9.954147
L_9_A10	9.293451
L_3_A9	9.293446
L_10_A19	8.794247
L_3_A6	5.977083
L_7_A5	5.864752
L_8_A6	5.864752
L_6_A5	5.704038
L_5_A18	5.252365
L_10_A8	3.615636
L_9_A4	3.324942
L_8_A3	3.324942
L_10_A10	3.324942
L_3_A3	3.324938
L_6_A14	3.309737
L_4_A2	3.228225
L_9_A12	2.749706
L_10_A17	2.749701
L_9_A8	1.883765
L_5_A17	1.590861
L_5_A5	1.153306
L_2_A7	0.984661
L_1_A6	0.984655
L_1_A3	0.824108
L_8_A7	0.795458
L_7_A6	0.795457
L_4_A16	0.578976
L_3_A15	0.57897
L_2_A5	0.236643
L_1_A4	0.236641
L_8_A13	4.9e-05
L_5_A8	3.9e-05
L_9_A9	1.9e-05
L_6_A9	1.5e-05
L_10_A18	1.4e-05
L_2_A13	1.3e-05
L_5_A16	8e-06
L_1_A7	7e-06
L_4_A17	3e-06
L_3_A16	2e-06
L_8_A5	1e-06
