feature	train_mean	train_std	test_mean	test_std
L_9_A8	0.801661	0.142869	0.183291	0.159396
L_8_A3	0.761199	0.084785	1.291379	0.228498
L_10_A8	0.423511	0.039205	0.432855	0.096758
L_1_A6	0.295505	0.029203	0.364463	0.205085
L_4_A44	0.116132	0.037858	0.484594	0.148151
L_8_A6	0.069819	0.060597	0.062438	0.047948
L_10_A2	0.056926	0.068787	-0.250668	0.140612
L_10_A10	0.046652	0.027296	0.010315	0.020777
L_5_A16	0.046652	0.027296	0.010315	0.020777
L_10_A13	0.036089	0.095512	0.164807	0.131994
L_2_A13	0.034459	0.026565	0.108081	0.093669
L_9_A10	0.029511	0.015438	0.039377	0.048243
L_9_A12	0.024268	0.031982	-0.281826	0.113873
L_5_A8	0.019847	0.024599	0.070073	0.218782
L_7_A6	0.012332	0.02467	0.0	0.0
L_7_A10	0.007648	0.013085	0.023069	0.046167
L_10_A18	0.006265	0.018806	0.024226	0.02967
L_1_A7	0.00109	0.035057	0.0	0.0
L_2_A5	0.0	0.0	0.0	0.0
L_5_A17	0.0	0.0	0.0	0.0
L_10_A17	0.0	0.0	0.0	0.0
L_8_A13	0.0	0.0	0.0	0.0
L_7_A5	0.0	0.0	0.0	0.0
L_6_A9	-0.0	0.0	0.0	0.0
L_8_A7	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_6_A14	0.0	0.0	0.0	0.0
L_5_A5	0.0	0.0	0.0	0.0
L_10_A19	0.0	0.0	1e-06	1e-06
L_9_A7	0.0	0.0	0.0	0.0
L_5_A15	-0.0	0.0	0.0	0.0
L_1_A12	0.0	0.0	0.0	0.0
L_1_A4	0.0	0.0	0.0	0.0
L_4_A2	0.0	0.0	0.0	0.0
L_4_A17	0.0	0.0	0.0	0.0
L_9_A4	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_3_A3	0.0	0.0	0.0	0.0
L_3_A16	0.0	0.0	1e-06	0.0
L_3_A15	0.0	0.0	0.0	0.0
L_3_A14	0.0	0.0	1e-06	0.0
L_8_A5	0.0	0.0	0.0	0.0
L_9_A9	-1e-06	0.0	-1e-06	1e-06
L_6_A5	-0.014511	0.018216	-0.046694	0.05551
L_4_A7	-0.014511	0.018216	-0.046694	0.05551
L_1_A3	-0.015238	0.008407	-0.197037	0.057494
L_5_A18	-0.027988	0.047552	0.02893	0.136103
L_4_A16	-0.030512	0.021358	-0.118669	0.07242
L_2_A7	-0.030512	0.021358	-0.118669	0.07242
L_3_A9	-0.037038	0.039174	-0.04839	0.083026
