feature	train_mean	train_std	test_mean	test_std
L_9_A7	0.035583	0.002868	0.012331	0.016214
L_4_A7	0.01984	0.003345	0.012423	0.016384
L_6_A4	0.01984	0.003345	0.012423	0.016384
L_7_A5	0.01852	0.001911	0.021731	0.003593
L_8_A6	0.017828	0.004774	0.011509	0.012927
L_1_A6	0.016481	0.004215	-0.009894	0.006643
L_10_A19	0.015955	0.003456	-0.019726	0.013063
L_10_A13	0.014161	0.001768	0.004352	0.010963
L_4_A15	0.010857	0.003299	-0.00715	0.007111
L_2_missing	0.010857	0.003299	-0.00715	0.007111
L_7_A6	0.006785	0.001746	0.024939	0.005426
L_8_A3	0.005859	0.002408	-0.011388	0.004203
L_10_A18	0.005726	0.002091	-0.006934	0.004708
L_2_A5	0.005447	0.000962	-0.001535	0.004384
L_2_A13	0.005062	0.000841	0.0	0.0
L_5_A11	0.005054	0.003882	0.003218	0.007811
L_10_A10	0.005054	0.003882	0.003218	0.007811
L_7_missing	0.004479	0.00188	0.004392	0.005366
L_5_A44	0.004479	0.00188	0.004392	0.005366
L_10_A16	0.004479	0.00188	0.004392	0.005366
L_4_A17	0.004479	0.00188	0.004392	0.005366
L_10_A17	0.002735	0.001029	-0.002888	0.004642
L_3_A16	0.002566	0.001507	-0.008525	0.00266
L_5_A17	0.000767	0.000459	-0.001227	0.002979
L_6_A5	0.0	0.0	0.0	0.0
L_8_A13	0.0	0.0	0.0	0.0
L_6_A9	0.0	0.0	0.0	0.0
L_7_A10	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_8_A7	0.0	0.0	0.0	0.0
L_8_A8	0.0	0.0	0.0	0.0
L_9_A12	0.0	0.0	0.0	0.0
L_5_missing	0.0	0.0	0.0	0.0
L_4_A5	0.0	0.0	0.0	0.0
L_5_A5	0.0	0.0	0.0	0.0
L_5_A18	0.0	0.0	0.0	0.0
L_5_A16	0.0	0.0	0.0	0.0
L_4_A44	0.0	0.0	0.0	0.0
L_4_A16	0.0	0.0	0.0	0.0
L_3_A9	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_3_A3	0.0	0.0	0.0	0.0
L_3_A15	0.0	0.0	0.0	0.0
L_3_A14	0.0	0.0	0.0	0.0
L_2_A7	0.0	0.0	0.0	0.0
L_1_A4	0.0	0.0	0.0	0.0
L_1_A3	0.0	0.0	0.0	0.0
L_1_A12	0.0	0.0	0.0	0.0
L_10_A2	0.0	0.0	0.0	0.0
L_9_A8	0.0	0.0	0.0	0.0
