feature	train_mean	train_std	test_mean	test_std
L_9_A8	0.079998	0.013613	0.017696	0.010026
L_8_A5	0.057146	0.013724	0.206372	0.027061
L_1_A4	0.036448	0.004396	0.055045	0.019235
L_9_A10	0.011982	0.006162	0.021887	0.022353
L_10_A2	0.01057	0.002191	-0.018273	0.00871
L_1_A12	0.009937	0.001187	0.036014	0.017793
L_10_A13	0.009415	0.003625	0.006386	0.005456
L_5_A5	0.006286	0.002004	0.006	0.008673
L_4_A16	0.006235	0.002314	0.001469	0.010553
L_4_A7	0.006191	0.002172	0.021437	0.010315
L_10_A10	0.006167	0.007119	0.005381	0.008404
L_5_A11	0.005547	0.003434	0.007528	0.008007
L_5_A16	0.004835	0.004649	0.007591	0.007583
L_3_A16	0.004564	0.003103	-0.003788	0.013398
L_9_A9	0.004548	0.00565	0.009117	0.009633
L_7_A5	0.004511	0.004084	0.022293	0.019706
L_3_A3	0.004394	0.003315	0.001987	0.004215
L_10_A19	0.00403	0.002509	0.002098	0.010106
L_10_A8	0.003773	0.004109	0.002948	0.006423
L_5_A15	0.003706	0.005414	0.011597	0.005186
L_7_A6	0.003429	0.004835	0.002168	0.005321
L_1_A6	0.003426	0.003618	-0.010533	0.01357
L_6_A9	0.003316	0.002512	-0.009833	0.013372
L_8_A6	0.003074	0.00362	-0.000817	0.012827
L_4_A15	0.002898	0.004242	0.006971	0.012192
L_10_A16	0.002469	0.002645	-0.002071	0.010646
L_2_A7	0.002335	0.002497	0.013464	0.006084
L_8_A8	0.002191	0.003487	-0.00329	0.008756
L_8_A7	0.001972	0.003542	0.007826	0.009356
L_2_A2	0.00136	0.0038	0.004522	0.004665
L_7_A10	0.000833	0.001162	0.001167	0.004475
L_5_A8	0.0	0.0	0.0	0.0
L_2_A13	0.0	0.0	0.0	0.0
L_3_A14	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_9_A4	0.0	0.0	0.0	0.0
L_9_A12	0.0	0.0	0.0	0.0
L_10_A18	0.0	0.0	0.0	0.0
L_3_A15	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_4_A2	0.0	0.0	0.0	0.0
L_2_A5	0.0	0.0	0.0	0.0
L_8_A3	0.0	0.0	0.0	0.0
L_8_A13	0.0	0.0	0.0	0.0
L_4_A4	0.0	0.0	0.0	0.0
L_1_A1	0.0	0.0	0.0	0.0
L_7_A3	0.0	0.0	0.0	0.0
L_5_A17	0.0	0.0	0.0	0.0
L_6_A5	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
