feature	importance
L_1_A6	0.066229
L_2_A7	0.066229
L_10_A18	0.062586
L_9_A8	0.056843
L_6_A5	0.044046
L_3_A15	0.042902
L_4_A16	0.042902
L_5_A17	0.032326
L_1_A12	0.029906
L_6_A4	0.029906
L_5_A16	0.027816
L_2_A13	0.025802
L_1_A4	0.025688
L_9_A7	0.02375
L_7_A10	0.02375
L_10_A13	0.02375
L_6_A9	0.021888
L_8_A13	0.021888
L_10_A19	0.020606
L_4_A7	0.018877
L_9_A9	0.018877
L_3_A6	0.018526
L_5_A8	0.016974
L_8_A7	0.016487
L_7_A6	0.016487
L_8_A6	0.015314
L_7_A5	0.015314
L_8_A8	0.015286
L_4_A15	0.013832
L_3_A14	0.012426
L_5_A5	0.011566
L_4_A17	0.010982
L_3_A16	0.010982
L_9_A12	0.010982
L_10_A17	0.010982
L_8_A3	0.009238
L_10_A10	0.009238
L_4_A4	0.009238
L_3_A3	0.009238
L_5_A18	0.008902
L_2_A8	0.006736
L_8_A5	0.00419
L_1_A3	0.0038
L_7_A3	0.003259
L_4_A5	0.002774
L_1_A1	0.002534
L_7_missing	0.002432
L_10_A2	0.002432
L_5_A11	0.001862
L_7_A7	0.001423
