feature	importance
L_2_A7	0.070594
L_9_A8	0.052214
L_5_A5	0.052035
L_10_A19	0.048836
L_1_A6	0.048391
L_6_A5	0.042401
L_6_A14	0.042336
L_7_A10	0.033592
L_10_A18	0.031999
L_4_A7	0.028117
L_4_A16	0.027401
L_1_A12	0.027238
L_6_A4	0.026961
L_10_A13	0.026608
L_9_A9	0.025568
L_1_A4	0.02543
L_3_A15	0.0254
L_9_A7	0.025036
L_4_A17	0.024944
L_8_A8	0.023689
L_4_A5	0.021673
L_9_A4	0.019503
L_5_A16	0.017653
L_5_A17	0.017472
L_4_A4	0.017412
L_3_A16	0.017222
L_5_A18	0.015817
L_2_A13	0.014088
L_8_A13	0.013218
L_5_A8	0.011104
L_3_A6	0.010588
L_8_A3	0.010503
L_6_A9	0.010146
L_10_A10	0.009437
L_2_A2	0.008862
L_7_A3	0.008758
L_2_missing	0.008322
L_4_A10	0.007519
L_8_A7	0.007342
L_7_A5	0.006165
L_2_A5	0.005034
L_9_A12	0.004881
L_7_A6	0.004861
L_8_A6	0.004162
L_3_A3	0.004023
L_3_A14	0.003974
L_8_A2	0.003971
L_10_A17	0.003392
L_4_A2	0.003012
L_8_A5	0.001095
