feature	train_mean	train_std	test_mean	test_std
L_4_A2	0.089609	0.006917	0.085046	0.00938
L_9_A8	0.064885	0.005077	0.006943	0.003483
L_3_A15	0.055332	0.004276	0.053571	0.006251
L_1_A12	0.054748	0.005393	0.02808	0.01635
L_10_A13	0.036145	0.003549	0.036663	0.004507
L_10_A19	0.031746	0.002749	0.034287	0.004006
L_2_A5	0.027749	0.003751	0.028432	0.006628
L_8_A2	0.026743	0.005289	0.024108	0.004876
L_8_A3	0.026243	0.002301	0.061641	0.026266
L_5_A16	0.026184	0.002221	0.020826	0.002971
L_7_A3	0.021129	0.001302	0.016964	0.003305
L_7_A6	0.020163	0.002721	0.018593	0.001347
L_7_A10	0.019497	0.002049	0.022988	0.004732
L_5_A17	0.018996	0.001285	0.01708	0.003805
L_8_A7	0.015796	0.003251	0.025288	0.01964
L_8_A8	0.014837	0.002717	0.014745	0.00413
L_4_A10	0.013828	0.002818	0.020077	0.003296
L_5_A8	0.013279	0.001137	0.015603	0.002779
L_2_missing	0.012702	0.003044	0.013155	0.006395
L_9_A12	0.011634	0.00151	0.006518	0.004171
L_9_A9	0.009656	0.001789	0.01861	0.004041
L_3_A6	0.009531	0.002496	0.013674	0.011014
L_10_A10	0.008594	0.001599	0.011294	0.000607
L_4_A7	0.007527	0.004248	0.019946	0.027541
L_4_A17	0.006434	0.004396	0.006246	0.002845
L_6_A5	0.005383	0.000648	0.008071	0.002812
L_4_A5	0.004771	0.000626	0.006276	0.003764
L_5_A18	0.004684	0.000593	0.002825	0.000432
L_10_A18	0.001533	0.000401	0.001831	0.001862
L_7_A5	0.001509	0.000504	0.00323	0.000443
L_4_A16	0.0	0.0	0.0	0.0
L_2_A13	0.0	0.0	0.0	0.0
L_10_A17	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_9_A4	0.0	0.0	0.0	0.0
L_1_A4	0.0	0.0	0.0	0.0
L_1_A6	0.0	0.0	0.0	0.0
L_8_A6	0.0	0.0	0.0	0.0
L_8_A5	0.0	0.0	0.0	0.0
L_2_A7	0.0	0.0	0.0	0.0
L_2_A2	0.0	0.0	0.0	0.0
L_8_A13	0.0	0.0	0.0	0.0
L_4_A4	0.0	0.0	0.0	0.0
L_3_A16	0.0	0.0	0.0	0.0
L_6_A9	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_6_A14	0.0	0.0	0.0	0.0
L_3_A3	0.0	0.0	0.0	0.0
L_5_A5	0.0	0.0	0.0	0.0
L_3_A14	0.0	0.0	0.0	0.0
