feature	train_mean	train_std	test_mean	test_std
L_9_A8	0.03149	0.004229	0.006835	0.003441
L_1_A6	0.011454	0.00592	0.025069	0.009241
L_4_A16	0.010497	0.003211	0.01014	0.018578
L_10_A17	0.009677	0.001694	0.00194	0.014477
L_7_A6	0.00681	0.004683	0.004744	0.010013
L_4_A7	0.00681	0.004683	0.004744	0.010013
L_2_A7	0.006622	0.00116	-0.000263	0.00766
L_5_A17	0.006468	0.002655	0.003335	0.011389
L_2_A5	0.006367	0.001066	0.0	0.0
L_8_A7	0.006209	0.001858	0.012218	0.005714
L_3_A8	0.005963	0.002394	-0.006044	0.007713
L_2_missing	0.005963	0.002394	-0.006044	0.007713
L_7_A10	0.005169	0.002711	0.003839	0.008362
L_4_A4	0.005169	0.002711	0.003839	0.008362
L_6_A9	0.003917	0.002521	-0.011127	0.010595
L_4_A2	0.003917	0.002521	-0.011127	0.010595
L_2_A13	0.003758	0.001704	-0.010995	0.009919
L_10_A19	0.003613	0.000985	0.002437	0.000662
L_8_A6	0.002936	0.001601	-0.009772	0.009472
L_1_A1	0.002266	0.005503	-0.054906	0.024748
L_10_A2	0.002141	0.001909	-0.004349	0.004975
L_8_A13	0.001659	0.000414	-0.002666	0.002536
L_3_A16	0.001205	0.000877	-0.004469	0.006357
L_3_A6	0.000769	0.002783	0.002417	0.002075
L_7_A5	0.000232	0.000668	0.002814	0.002326
L_1_A12	0.00012	0.000167	-7.2e-05	0.000276
L_5_A16	6.3e-05	3.2e-05	-0.000882	0.000892
L_9_A4	0.0	0.0	0.0	0.0
L_7_missing	0.0	0.0	0.0	0.0
L_9_A10	0.0	0.0	0.0	0.0
L_8_A3	0.0	0.0	0.0	0.0
L_7_A7	0.0	0.0	0.0	0.0
L_8_A5	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_10_A13	0.0	0.0	0.0	0.0
L_6_A5	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_3_A44	0.0	0.0	0.0	0.0
L_3_A3	0.0	0.0	0.0	0.0
L_3_A15	0.0	0.0	0.0	0.0
L_3_A14	0.0	0.0	0.0	0.0
L_2_A8	0.0	0.0	0.0	0.0
L_1_A4	0.0	0.0	0.0	0.0
L_1_A3	0.0	0.0	0.0	0.0
L_10_A18	0.0	0.0	0.0	0.0
L_9_A9	0.0	0.0	0.0	0.0
L_6_A6	-0.000112	0.001153	-0.003651	0.004838
L_4_A17	-0.00018	0.00093	-0.000939	0.003452
L_4_A15	-0.004324	0.002032	-0.03273	0.012896
L_5_A5	-0.005957	0.00086	-0.021748	0.007089
