scores	parameters
0.93125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 0.1, 'model__gamma': 'scale', 'model__kernel': 'linear'
0.93125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 1.0, 'model__gamma': 'scale', 'model__kernel': 'rbf'
0.93125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 10, 'model__gamma': 'auto', 'model__kernel': 'rbf'
0.925	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 1.0, 'model__gamma': 'scale', 'model__kernel': 'linear'
0.925	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 10, 'model__gamma': 'auto', 'model__kernel': 'linear'
0.925	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 1.0, 'model__gamma': 'auto', 'model__kernel': 'linear'
0.925	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 0.1, 'model__gamma': 'auto', 'model__kernel': 'linear'
0.91875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 10, 'model__gamma': 'scale', 'model__kernel': 'linear'
0.9125	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 1.0, 'model__gamma': 'auto', 'model__kernel': 'linear'
0.9125	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 10, 'model__gamma': 'scale', 'model__kernel': 'rbf'
0.90625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 10, 'model__gamma': 'auto', 'model__kernel': 'rbf'
0.89375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 10, 'model__gamma': 'scale', 'model__kernel': 'rbf'
0.89375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 10, 'model__gamma': 'auto', 'model__kernel': 'linear'
0.89375	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 1.0, 'model__gamma': 'auto', 'model__kernel': 'rbf'
0.89375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 0.1, 'model__gamma': 'auto', 'model__kernel': 'linear'
0.8875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf'
0.88125	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 0.1, 'model__gamma': 'scale', 'model__kernel': 'linear'
0.875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 1.0, 'model__gamma': 'scale', 'model__kernel': 'linear'
0.875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 1.0, 'model__gamma': 'auto', 'model__kernel': 'rbf'
0.86875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 10, 'model__gamma': 'scale', 'model__kernel': 'linear'
0.86875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 1.0, 'model__gamma': 'scale', 'model__kernel': 'rbf'
0.8625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf'
0.80625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 0.1, 'model__gamma': 'auto', 'model__kernel': 'rbf'
0.6625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7f71339289a0>, 'model__C': 0.1, 'model__gamma': 'auto', 'model__kernel': 'rbf'
