feature	importance
L_1_A6	0.20117
L_5_A5	0.191192
L_1_A4	0.152593
L_10_A19	0.082151
L_10_A16	0.078806
L_1_A12	0.054448
L_1_A1	0.051622
L_10_A13	0.050343
L_4_A7	0.027075
L_6_A5	0.015821
L_3_A16	0.015502
L_9_A8	0.011396
L_5_A17	0.010479
L_4_A5	0.009624
L_10_A10	0.008866
L_10_A17	0.008222
L_1_A3	0.008067
L_10_A18	0.006486
L_5_A18	0.005748
L_3_A8	0.005732
L_9_A9	0.002965
L_3_A15	0.001546
L_1_A8	0.000148
L_9_A12	0.0
L_8_A8	0.0
L_8_A7	0.0
L_8_A6	0.0
L_7_A10	0.0
L_8_A2	0.0
L_8_A13	0.0
L_7_A6	0.0
L_9_A4	0.0
L_9_A7	0.0
L_7_A5	0.0
L_8_A3	0.0
L_3_A14	0.0
L_6_A9	0.0
L_6_A4	0.0
L_5_A16	0.0
L_5_A11	0.0
L_2_A13	0.0
L_2_A5	0.0
L_4_A17	0.0
L_4_A16	0.0
L_4_A15	0.0
L_3_A9	0.0
L_3_A6	0.0
L_3_A3	0.0
L_2_A7	0.0
L_5_A8	0.0
