feature	train_mean	train_std	test_mean	test_std
L_10_A13	0.158488	0.014917	0.12201	0.036184
L_1_A6	0.155297	0.015403	0.116598	0.035355
L_2_A7	0.114773	0.017144	0.121468	0.048618
L_10_A19	0.082736	0.011714	0.05742	0.023549
L_1_A4	0.061379	0.01005	0.101425	0.031526
L_9_A8	0.058044	0.004401	0.022787	0.010627
L_8_A2	0.044107	0.003788	0.13176	0.018235
L_2_A13	0.040051	0.015444	0.028203	0.027384
L_10_A16	0.029139	0.003412	0.042096	0.014885
L_4_A7	0.012338	0.003653	0.00473	0.017771
L_10_A10	0.011962	0.005651	0.015573	0.01109
L_8_A8	0.005516	0.002549	0.007236	0.006692
L_1_A8	0.00439	0.001667	0.0	0.0
L_8_A13	0.002395	0.001797	0.003329	0.003695
L_4_A5	0.001911	0.000245	0.002179	0.000408
L_5_A18	0.001529	0.000891	-0.004932	0.000733
L_9_A12	0.001338	0.000737	-0.002896	0.000677
L_10_A18	0.001014	0.000874	-0.001189	0.003439
L_10_A17	0.000359	0.000668	0.000552	0.001901
L_3_A15	0.000205	0.000237	-0.00014	7e-05
L_1_A12	0.0	0.0	0.0	0.0
L_6_A9	0.0	0.0	0.0	0.0
L_7_A10	0.0	0.0	0.0	0.0
L_7_A5	0.0	0.0	0.0	0.0
L_7_A6	0.0	0.0	0.0	0.0
L_3_A14	0.0	0.0	0.0	0.0
L_1_A1	0.0	0.0	0.0	0.0
L_6_A5	0.0	0.0	0.0	0.0
L_8_A6	0.0	0.0	0.0	0.0
L_8_A7	0.0	0.0	0.0	0.0
L_9_A4	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_8_A3	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_5_A5	0.0	0.0	0.0	0.0
L_5_A17	0.0	0.0	0.0	0.0
L_5_A16	0.0	0.0	0.0	0.0
L_5_A11	0.0	0.0	0.0	0.0
L_1_A3	0.0	0.0	0.0	0.0
L_2_A5	0.0	0.0	0.0	0.0
L_4_A17	0.0	0.0	0.0	0.0
L_4_A16	0.0	0.0	0.0	0.0
L_4_A15	0.0	0.0	0.0	0.0
L_3_A9	0.0	0.0	0.0	0.0
L_3_A8	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_3_A3	0.0	0.0	0.0	0.0
L_3_A16	0.0	0.0	0.0	0.0
L_9_A9	0.0	0.0	0.0	0.0
