scores	parameters
0.925	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.1, 'model__max_depth': 3, 'model__n_estimators': 50
0.91875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100
0.91875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100
0.91875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.3, 'model__max_depth': 3, 'model__n_estimators': 50
0.91875	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.3, 'model__max_depth': 5, 'model__n_estimators': 50
0.90625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50
0.90625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.3, 'model__max_depth': 3, 'model__n_estimators': 100
0.90625	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.3, 'model__max_depth': 5, 'model__n_estimators': 100
0.89375	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.3, 'model__max_depth': 5, 'model__n_estimators': 100
0.8875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.1, 'model__max_depth': 3, 'model__n_estimators': 50
0.8875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.3, 'model__max_depth': 3, 'model__n_estimators': 50
0.8875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.3, 'model__max_depth': 5, 'model__n_estimators': 50
0.875	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50
0.8625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.3, 'model__max_depth': 3, 'model__n_estimators': 100
0.85625	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.1, 'model__max_depth': 5, 'model__n_estimators': 100
0.85	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_classif at 0x7fda75cbc9a0>, 'model__eta': 0.1, 'model__max_depth': 3, 'model__n_estimators': 100
