feature	train_mean	train_std	test_mean	test_std
L_8_A13	0.172287	0.025658	0.489759	0.14533
L_4_A4	0.090458	0.028249	0.170765	0.050457
L_8_A8	0.05916	0.02309	0.111659	0.0644
L_1_A4	0.051091	0.007648	0.079936	0.037279
L_4_A7	0.042155	0.025888	0.077359	0.026236
L_1_A1	0.032142	0.041801	-0.026965	0.033026
L_3_A3	0.03176	0.021041	-0.007364	0.06054
L_2_A7	0.027245	0.017512	0.05604	0.090025
L_9_A9	0.025536	0.020105	0.162185	0.123587
L_5_A16	0.02464	0.020612	0.002156	0.075634
L_7_A3	0.02464	0.020612	0.002156	0.075634
L_7_missing	0.020274	0.030052	0.090002	0.133982
L_8_A6	0.013457	0.010225	-0.04602	0.059398
L_10_A13	0.01149	0.008129	0.004373	0.041412
L_8_A7	0.010719	0.012274	0.016566	0.033131
L_10_A18	0.006799	0.009311	-0.002013	0.058583
L_6_A9	0.00657	0.006596	-0.064728	0.054327
L_5_A5	0.005535	0.010582	0.064005	0.040484
L_2_A13	0.004263	0.008528	0.0	0.0
L_7_A10	0.002057	0.017664	0.060985	0.080321
L_5_A11	0.002057	0.017663	0.060985	0.080321
L_8_A3	0.000657	0.007435	0.008281	0.043801
L_10_A10	0.000414	0.008892	0.007269	0.017336
L_5_A17	0.000414	0.008892	0.007269	0.017336
L_7_A6	0.000414	0.008892	0.007269	0.017336
L_2_A8	0.0	0.0	0.0	0.0
L_9_A12	0.0	0.0	0.0	0.0
L_8_A5	0.0	0.0	0.0	0.0
L_1_A12	0.0	0.0	0.0	0.0
L_1_A3	0.0	0.0	0.0	0.0
L_7_A7	0.0	0.0	0.0	0.0
L_7_A5	0.0	0.0	0.0	0.0
L_4_A16	0.0	0.0	0.0	0.0
L_9_A7	0.0	0.0	0.0	0.0
L_10_A17	0.0	0.0	0.0	0.0
L_6_A5	0.0	0.0	0.0	0.0
L_6_A4	0.0	0.0	0.0	0.0
L_5_A8	0.0	0.0	0.0	0.0
L_3_A15	0.0	0.0	0.0	0.0
L_5_A18	0.0	0.0	0.0	0.0
L_3_A16	0.0	0.0	0.0	0.0
L_3_A6	0.0	0.0	0.0	0.0
L_4_A15	0.0	0.0	0.0	0.0
L_4_A5	0.0	0.0	0.0	0.0
L_10_A19	-0.003146	0.018313	0.05944	0.085474
L_1_A6	-0.008324	0.009287	-0.110262	0.05733
L_10_A2	-0.011891	0.00643	-0.114813	0.020682
L_3_A14	-0.015413	0.008315	-0.037619	0.042381
L_4_A17	-0.015413	0.008316	-0.037619	0.042381
L_9_A8	-0.038755	0.011203	0.00406	0.0
